participant_id,session_id,session_start_time,days_since_baseline,employment_phase
15,15_1594140175,2020-07-07 16:42:55,0,Initial_Phase
15,15_1594149654,2020-07-07 19:20:54,0,Initial_Phase
15,15_1594213322,2020-07-08 13:02:02,0,Initial_Phase
15,15_1594220239,2020-07-08 14:57:19,0,Initial_Phase
15,15_1594238057,2020-07-08 19:54:17,1,Initial_Phase
15,15_1594298975,2020-07-09 12:49:35,1,Initial_Phase
15,15_1594311202,2020-07-09 16:13:22,1,Initial_Phase
15,15_1594325201,2020-07-09 20:06:41,2,Initial_Phase
15,15_1594378283,2020-07-10 10:51:23,2,Initial_Phase
15,15_1594380033,2020-07-10 11:20:33,2,Initial_Phase
15,15_1595334888,2020-07-21 12:34:48,13,Initial_Phase
15,15_1595347920,2020-07-21 16:12:00,13,Initial_Phase
15,15_1595360012,2020-07-21 19:33:32,14,Initial_Phase
15,15_1595425036,2020-07-22 13:37:16,14,Initial_Phase
15,15_1595433234,2020-07-22 15:53:54,14,Initial_Phase
15,15_1595446619,2020-07-22 19:36:59,15,Adjustment_Phase
15,15_1595592772,2020-07-24 12:12:52,16,Adjustment_Phase
15,15_1595600598,2020-07-24 14:23:18,16,Adjustment_Phase
15,15_1595604812,2020-07-24 15:33:32,16,Adjustment_Phase
15,15_1595608145,2020-07-24 16:29:05,16,Adjustment_Phase
15,15_1595854651,2020-07-27 12:57:31,19,Adjustment_Phase
15,15_1595857850,2020-07-27 13:50:50,19,Adjustment_Phase
15,15_1595862148,2020-07-27 15:02:28,19,Adjustment_Phase
15,15_1595866250,2020-07-27 16:10:50,19,Adjustment_Phase
15,15_1595869772,2020-07-27 17:09:32,20,Adjustment_Phase
15,15_1595871983,2020-07-27 17:46:23,20,Adjustment_Phase
15,15_1595940277,2020-07-28 12:44:37,20,Adjustment_Phase
15,15_1595947283,2020-07-28 14:41:23,20,Adjustment_Phase
15,15_1595953571,2020-07-28 16:26:11,20,Adjustment_Phase
15,15_1595970459,2020-07-28 21:07:39,21,Adjustment_Phase
15,15_1596027852,2020-07-29 13:04:12,21,Adjustment_Phase
15,15_1596037241,2020-07-29 15:40:41,21,Adjustment_Phase
15,15_1596204744,2020-07-31 14:12:24,23,Adjustment_Phase
15,15_1596219716,2020-07-31 18:21:56,24,Adjustment_Phase
15,15_1596222922,2020-07-31 19:15:22,24,Adjustment_Phase
15,15_1596546369,2020-08-04 13:06:09,27,Adjustment_Phase
15,15_1596547439,2020-08-04 13:23:59,27,Adjustment_Phase
